연번,소재지(시도),시군구,문화재명,방재시설(소방방범),방재시설업체명,담당자,업체연락처,관할소방서기관명,거리(KM),소방차도착시간(min),소방기관연락처
1,서울,서울,서울 운현궁,소방,세종종합기술,황인봉,,종로소방서 현장대응단 ,0.2,1,02-734-0119
2,서울,역박,경희궁지,소방,㈜국제방재서비스,정철우,02-724-0274,종로소방서 현장대응단 ,3.3,5,02-734-0119
3,서울,성북,만해 한용운 심우장,방범,광명통신안전,,02-2241-2652,돈암119안전센터,2.5,9,02-6981-7361
4,서울,용산,서울 효창공원,방범,에스원,,,용산소방서,2.4,7,02-794-4119
5,서울,은평,서울 금성당,소방,드림방재,김광춘,02-351-6523,은평소방서,1.9,5,02-355-0119
6,서울,종로,서울 흥인지문,소방,하나방재,정희철,,숭인119안전센터,1.6,3,02-734-8119
7,서울,종로,서울 문묘 및 성균관<대성전·동무·서무·삼문·명륜당>,소방,하나방재,정희철,,연건119안전센터,1.6,4,02-747-8119
8,서울,종로,서울 동관왕묘,소방,하나방재,정희철,,숭인119안전센터,1.19,3,02-734-8119
9,서울,종로,서울 창의문,소방,하나방재,정희철,,신교119안전센터,1.5,3,02-736-0119
10,서울,종로,서울 한양도성(혜화문),소방,하나방재,정희철,,연건119안전센터,1.9,4,02-747-8119
11,서울,종로,서울 탑골공원,소방,하나방재,정희철,02-2148-1827,종로119안전센터,0.65,3,02-747-7119
12,서울,종로,안국동 윤보선가,소방,하나방재,정희철,,종로소방서 현장대응단 ,1.5,3,02-734-0119
13,서울,종로,서울 이화장,소방,하나방재,정희철,02-762-3171,연건119안전센터,0.8,3,02-747-8119
14,서울,종로,인왕산 국사당,소방,하나방재,정희철,02-737-4429,신교119안전센터,3,3,02-736-0119
15,부산,금정,부산 범어사 대웅전,소방,현대방재,황수종,051-508-3122,금정소방서,7.4,19,051-760-4754
16,부산,금정,부산 범어사 조계문,소방,현대방재,황수종,051-508-3122,금정소방서,7.4,19,051-760-4754
17,부산,기장,기장 장안사 대웅전,소방,금샘방재,류희석,051-727-2392,기장소방서,15,20,051-760-5100
18,부산,사상,부산 운수사 대웅전,소방,㈜대한소방공사,,051-313-3300,북부소방서,10,15,051-760-4452
19,대구,군위,군위 인각사지,소방,㈜엠소방엔지니어링,김원민,054-383-1161,의성소방서 의흥119안전센터,10.7,14,054-830-7841
20,대구,달성,달성 도동서원 중정당·사당·담장,소방,㈜한양아이앤디,박범용,053-626-9091,달성소방서(구지119안전센터),10,15,053-602-4972
21,대구,달성,달성 태고정,소방,㈜한양아이앤디,박범용,053-583-0224,강서소방서(매곡119안전센터),10,12,053-601-5660
22,대구,달성,달성 하목정,소방,㈜한양아이앤디,박범용,053-556-6000,강서소방서(매곡119안전센터),8,10,053-601-5660
23,대구,달성,달성 도동서원,소방,㈜한양아이앤디,박범용,053-626-9091,달성소방서(구지119안전센터),10,15,053-602-4972
24,대구,달성,달성 삼가헌 고택,소방,㈜한양아이앤디,박범용,,강서소방서(매곡119안전센터),15,20,053-601-5660
25,대구,달성,달성 조길방 고택,소방,㈜한양아이앤디,박범용,,수성소방서(상동119안전센터),16,30,053-607-3900
26,대구,동구,대구 북지장사 지장전,소방,㈜한양아이엔디,박범용,053-985-5214,동부소방서(공산119안전센터),2.4,14,053-605-5360
27,대구,동구,대구 동화사 대웅전,소방,㈜한양아이엔디,박범용,053-980-7900,동부소방서(공산119안전센터),4.4,10,053-605-5360
28,대구,동구,대구 파계사 원통전,소방,㈜한양아이엔디,박범용,053-984-4550,동부소방서(공산119안전센터),11.9,20,053-605-5360
29,대구,동구,대구 동화사 극락전,소방,㈜한양아이엔디,박범용,053-980-7900,동부소방서(공산119안전센터),4.4,10,053-605-5360
30,대구,동구,대구 동화사 수마제전,소방,㈜한양아이엔디,박범용,053-980-7900,동부소방서(공산119안전센터),4.4,10,053-605-5360
31,대구,동구,대구 동화사 봉황문,소방,㈜한양아이엔디,박범용,053-980-7900,동부소방서(공산119안전센터),4.4,10,053-605-5360
32,대구,동구,대구 백불암 고택,소방,㈜한양아이엔디,박범용,053-983-1040,동부소방서(동촌119안전센터),6.3,17,053-605-5330
33,대구,중구,대구 경상감영 선화당,,,,053-803-3753,서문로119 안전센터,0.2,2,053-601-4572
34,대구,중구,대구 경상감영지,,,,053-803-3753,서문로119 안전센터,0.2,2,053-601-4572
35,인천,강화,강화 정수사 법당,방범,펫츠뷰,오남웅,032-937-3611,길상119안전센터 화도지역대,8.3,18,032-930-5829
36,인천,강화,강화 전등사 대웅전,방범,펫츠뷰,오남웅,032-937-0125,길상119,2.3,6,032-930-5822
37,인천,강화,강화 전등사 약사전,방범,펫츠뷰,오남웅,032-937-0125,길상119,2.3,6,032-930-5822
38,인천,강화,강화산성,방범,펫츠뷰,오남웅,032-930-3898,강화119안전센터,2,5,032-930-5821
39,인천,강화,강화 고려궁지,방범,펫츠뷰,오남웅,032-930-3898,강화119안전센터,2,5,032-930-5821
40,인천,강화,강화 갑곶돈,방범,펫츠뷰,오남웅,032-930-3898,강화119안전센터,2,5,032-930-5821
41,인천,강화,대한성공회 강화성당,방범,펫츠뷰,오남웅,,강화119안전센터,2,5,032-930-5821
42,대전,대덕,대전 회덕 동춘당,소방,대신방재,백승욱,042-631-5600,대덕소방서(송촌119안전센터),0.5,2,042-270-1891
43,대전,대덕,대전 동춘당 종택,소방,대신방재,백승욱,042-631-5600,대덕소방서(송촌119안전센터),0.5,2,042-270-1891
44,대전,대덕,대전 소대헌·호연재 고택,소방,대신방재,백승욱,02-752-7525,대덕소방서(송촌119안전센터),0.5,2,042-270-1891
45,울산,울주,울주 천전리 각석,방범,㈜에스원,박경락,,두서119안전센터,8,15,052-241-2555
46,울산,울주,울주 대곡리 반구대 암각화,방범,㈜에스원,박경락,,두서119안전센터,5,10,052-241-2555
47,세종,세종,세종 비암사 극락보전,,,,044-863-0230,전의119안전센터,13.1,21,044-300-8532
48,세종,세종,세종 홍판서댁,소방,한빛소방주식회사,송영국,,부강119안전센터,2,4,044-300-8542
49,경기,남한산성,남한산성 수어장대,소방,(주)거산이앤지,이영훈,,남한산성 119지역대,2.3,10,031-799-2553
50,경기,남한산성,남한산성 연무관,소방,(주)거산이앤지,이영훈,,남한산성 119지역대,0.2,1,031-799-2553
51,경기,남한산성,남한산성 숭렬전,소방,(주)거산이앤지,이영훈,,남한산성 119지역대,1.1,5,031-799-2553
52,경기,남한산성,남한산성,소방,(주)거산이앤지,이영훈,,남한산성 119지역대,1.5,4,031-799-2553
53,경기,남한산성,남한산성 행궁,소방,(주)거산이앤지,이영훈,,남한산성 119지역대,0.7,3,031-799-2553
54,경기,고양,고양 행주산성,소방,한국소봉이엔지㈜,양창선,031-8075-4640,행신119,2.3,4,031-931-0532
55,경기,고양,"북한산성(대서문, 중성문)",소방,한국소봉이엔지㈜,양창선,031-8075-3387,삼송119,4.8,8,031-931-0522
56,경기,김포,김포 문수산성,소방,(주)원진이앤씨,민경희,031-980-2474,통진119,9.4,10,031-980-4521
57,경기,남양주,남양주 동관댁,소방,㈜새한이엔씨,박상만,,진접119,6.2,11,031-590-0521
58,경기,남양주,남양주 궁집,소방,㈜새한이엔씨,박상만,031-590-2064,남양주소방서,0.4,1,031-590-0119
59,경기,성남,성남 봉국사 대광명전,소방,㈜동양이엔지,엄영의,031-755-0329,성남소방서,3.5,10,031-720-0435
60,경기,수원,수원 팔달문,소방,㈜수양엔지니어링,나영숙,031-228-2002,매산119,1.1,4,031-639-8535
61,경기,수원,수원 화서문,소방,㈜수양엔지니어링,나영숙,031-228-2002,지만119,2.1,4,031-8012-9522
62,경기,수원,수원 방화수류정,소방,㈜수양엔지니어링,나영숙,031-228-2002,매산119,2.4,4,031-639-8535
63,경기,수원,수원 서북공심돈,소방,㈜수양엔지니어링,나영숙,031-228-2002,지만119,2.1,4,031-8012-9522
64,경기,수원,수원 화령전 운한각·복도각·이안청,소방,㈜수양엔지니어링,나영숙,031-228-2002,매산119,2.1,4,031-639-8535
65,경기,수원,수원 화성,소방,㈜수양엔지니어링,나영숙,031-228-2002,지만119,2,4,031-8012-9522
66,경기,수원,수원 화령전,소방,㈜수양엔지니어링,나영숙,031-228-2002,매산119,2.1,4,031-639-8535
67,경기,수원,수원 화성행궁,소방,㈜수양엔지니어링,나영숙,031-228-2002,지만119,2.1,4,031-8012-9522
68,경기,수원,수원향교 대성전,소방,㈜수양엔지니어링,나영숙,031-245-8005,매산119,0.5,4,031-8012-9522
69,경기,수원,수원 광주이씨 고택,소방,㈜수양엔지니어링,나영숙,,수원소방서,2.2,9,031-8012-9119
70,경기,안성,안성 석남사 영산전,소방,국민소방안전㈜,임화석,031-676-1444,미양119센터,13.4,23,031-677-7119
71,경기,안성,안성 청룡사 대웅전,소방,국민소방안전㈜,임화석,031-672-9103,미양119센터,13.3,20,031-677-7119
72,경기,안성,안성 칠장사 대웅전,소방,국민소방안전㈜,임화석,031-673-0776,죽산119센터,9.7,17,031-678-4520
73,경기,안성,안성향교 대성전,소방,국민소방안전㈜,임화석,031-675-0027,안성소방서,3,5,031-676-0119
74,경기,안성,안성향교 풍화루,소방,국민소방안전㈜,임화석,031-675-0027,안성소방서,3,5,031-676-0119
75,경기,안성,안성 객사 정청,소방,국민소방안전㈜,임화석,031-678-2501,안성소방서,7,9,031-676-0119
76,경기,양주,양주 매곡리 고택,소방,송민방재㈜,송민석,031-8082-5671,남면소방서,10,10,031-849-8120
77,경기,여주,여주 신륵사 조사당,소방,㈜유비방재,심영현,031-885-2505,여주소방서,3.8,8,031-887-8505
78,경기,여주,여주 보통리 고택,소방,㈜유비방재,심영현,031-887-3561,여주소방서(대신119),1.1,2,031-887-8505
79,경기,연천,연천 숭의전지,소방,㈜대흥소방,정현호,031-839-2143,연천소방서(왕징119),6.3,7,031-830-0508
80,경기,오산,오산 독산성과 세마대지,소방,㈜SSE&C,하추,,오산소방서,3.2,14,031-8059-7114
81,경기,용인,용인 심곡서원,소방,㈜도솔방재,이병호,031-261-6750,수지119센터,4.3,9,031-8021-0521
82,경기,이천,이천 어재연 고택,소방,유비방재㈜,김동기,,이천소방서율면119지역대,7.4,10,031-645-5527
83,경기,파주,파주 윤관장군묘,소방,㈜금호방재산업,문승환,02-424-1373,파주소방서(파주119지역대),1.2,3,031-952-0119
84,경기,파주,파주 이이 유적,소방,㈜금호방재산업,문승환,031-940-5806,파주소방서(파주119지역대),3.4,6,031-952-0119
85,경기,화성,화성 용주사 대웅보전,소방,주연소방,최희영,031-234-0040,태안119센터,4.3,8,031-8012-6542
86,경기,화성,화성 정시영 고택,소방,주연소방,최희영,,서신119지역대,5.2,9,031-8012-6592
87,경기,화성,화성 정수영 고택,소방,주연소방,최희영,031-5189-3872,서신119지역대,5.2,9,031-8012-6592
88,강원,강릉,강릉 임영관 삼문,소방,강원방재,김태형,033-640-5118,강릉소방서(내곡119안전센터),1.3,3,033-645-0119
89,강원,강릉,강릉 오죽헌,소방,강원방재,김태형,033-640-5118,강릉소방서(경포119안전센터),4.4,5,033-645-0119
90,강원,강릉,강릉 해운정,소방,강원방재,김태형,033-648-2556,강릉소방서(경포119안전센터),2.6,3,033-645-0119
91,강원,강릉,강릉향교 대성전,소방,강원방재,김태형,033-648-3667,강릉소방서,1.4,3,033-645-0119
92,강원,강릉,강릉 경포대,소방,강원방재,김태형,033-640-5118,강릉소방서(경포119안전센터),1.4,2,033-645-0119
93,강원,강릉,강릉향교 명륜당,소방,강원방재,김태형,033-648-3667,강릉소방서,1.4,3,033-645-0119
94,강원,강릉,강릉향교 동무서무전랑,소방,강원방재,김태형,033-648-3667,강릉소방서,1.4,3,033-645-0119
95,강원,강릉,강릉 칠사당,소방,강원방재,김태형,033-640-5118,강릉소방서(경포119안전센터),1.4,2,033-645-0119
96,강원,강릉,강릉대도호부 관아,소방,강원방재,김태형,033-640-5118,강릉소방서(경포119안전센터),1.4,2,033-645-0119
97,강원,강릉,강릉 선교장,소방,강원방재,김태형,033-648-5311,강릉소방서(경포119안전센터),1.4,2,033-645-0119
98,강원,고성,고성 건봉사지,,,,033-682-8100,고성소방서,11,16,033-681-1119
99,강원,고성,고성 어명기 고택,소방,보성소방,이진열,,고성소방서,11,16,033-681-1119
100,강원,고성,고성 왕곡마을,소방,보성소방,이진열,033-631-2120,고성소방서,10,11,033-681-1119
101,강원,삼척,삼척 죽서루,소방,중앙이에스엠,오진열,033-570-3251,삼척소방서(봉황119안전센터),1.8,6,033-572-9119
102,강원,삼척,삼척 신리 너와집과 민속유물,소방,중앙이에스엠,오진열,033-570-3251,삼척소방서(가곡119안전센터),33.9,1.11,033-572-9119
103,강원,삼척,삼척 대이리 너와집,소방,중앙이에스엠,오진열,,삼척소방서(신기119안전센터),8.8,15,033-572-9119
104,강원,삼척,삼척 대이리 굴피집,소방,중앙이에스엠,오진열,,삼척소방서(신기119안전센터),8.8,15,033-572-9119
105,강원,속초,속초 신흥사 극락보전,소방,보성소방,김정희,033-636-7044,속초소방서(설악119안전센터),3.1,5,033-630-2510
106,강원,양양,양양 낙산사 일원,소방,보성소방,김정희,033-672-2447,양양소방서(강현119안전센터),6,10,033-671-2119
107,강원,영월,영월 창절사,,,,033-373-3113,영월소방서(영월119안전센터),1.7,5,033-374-2119
108,강원,영월,영월 장릉,소방,우리방재,성명진,,영월소방서(영월119안전센터),1.2,2,033-374-2119
109,강원,영월,영월부 관아,소방,우리방재,성명진,033-374-3169,영월소방서(영월119안전센터),1.7,4,033-374-2119
110,강원,원주,원주 강원감영 선화당,소방,원주방재,남재웅,033-737-2794,원주소방서(학성119안전센터),0.9,3,033-732-4119
111,강원,원주,원주 강원감영,소방,원주방재,남재웅,033-737-2794,원주소방서(학성119안전센터),0.9,3,033-732-4119
112,강원,춘천,춘천 청평사 회전문,소방,도강방재,김오규,033-244-1095,춘천소방서(신북119안전센터),21,30,033-248-9560
113,강원,평창,평창 오대산 중대 적멸보궁,,,,033-339-6617,평창소방서(진부119안전센터),20.6,62,033-339-8521
114,강원,평창,평창 오대산사고,,,,033-339-6617,평창소방서(진부119안전센터),16.3,30,033-339-8521
115,충북,괴산,괴산 송시열 유적,소방,신영방재,김진기,043-830-3430,청천면119안전센터,8.9,10,043-760-0235
116,충북,괴산,괴산 김항묵 고택,소방,신영방재,김진기,,괴산119안전센터,7.4,9,043-760-0214
117,충북,괴산,괴산 송병일 고택,소방,신영방재,김진기,043-832-4062,청천면119안전센터,0.92,3,043-760-0235
118,충북,단양,단양 조덕수 고택,소방,서원소방,유석진,,단양119안전센터,5.2,7,043-767-4215
119,충북,보은,보은 법주사 팔상전,소방,지엠방재산업㈜,최상훈,043-543-3615,속리산119안전센터,0.2,2,043-773-0235
120,충북,보은,보은 법주사 대웅보전,소방,지엠방재산업㈜,최상훈,043-543-3615,속리산119안전센터,0.2,2,043-773-0235
121,충북,보은,보은 법주사 원통보전,소방,지엠방재산업㈜,최상훈,043-543-3615,속리산119안전센터,0.2,2,043-773-0235
122,충북,보은,보은 법주사,소방,지엠방재산업㈜,최상훈,043-543-3615,속리산119안전센터,0.2,2,043-773-0235
123,충북,보은,보은 우당고택,소방,지엠방재산업㈜,최상훈,,속리산119안전센터,9.5,14,043-773-0235
124,충북,보은,보은 최감찰댁,소방,지엠방재산업㈜,최상훈,,보은소방서 119안전센터,5.8,8,043-773-0218
125,충북,영동,영동 세천재,소방,토광방재안전관리,이민재,,황간119안전센터,10,14,043-740-7146
126,충북,영동,영동 소석고택,소방,토광방재안전관리,이민재,02-735-9010,영동119안전센터,11,17,043-740-7110
127,충북,영동,영동 규당고택,소방,토광방재안전관리,이민재,02-735-9010,영동119안전센터,3.3,8,043-740-7110
128,충북,영동,영동 김참판댁,소방,토광방재안전관리,이민재,,영동119안전센터,11,14,043-740-7110
129,충북,영동,영동 성장환 고택,소방,토광방재안전관리,이민재,,영동119안전센터,5.3,7,043-740-7110
130,충북,옥천,옥천 이지당,소방,한빛소방㈜,이종근,,옥천119안전센터,6,8,043-730-1904
131,충북,음성,음성 잿말 고택,소방,신영방재,김진기,,감곡119안전센터,3.7,11,043-881-3119
132,충북,음성,음성 공산정 고택,소방,신영방재,김진기,,감곡119안전센터,4,14,043-881-3119
133,충북,제천,제천 청풍 한벽루,소방,(주)중앙방재,장기승,043-641-5531,청풍119안전센터,0.6,3,043-648-0119
134,충북,제천,제천 박용원 고택,소방,(주)중앙방재,장기승,043-652-2046,청풍119안전센터,11.5,17,043-648-0119
135,충북,제천,제천 정원태 고택,소방,(주)중앙방재,장기승,,청풍119안전센터,14.4,21,043-648-0119
136,충북,진천,진천 김유신 탄생지와 태실,소방,가람방재,김완중,043-539-3623,진천소방서,8,10,043-539-8183
137,충북,청주,청주 안심사 대웅전,소방,신영방재,남호신,043-260-6165,남이119안전센터,8.82,26,043-249-9867
138,충북,청주,청주 흥덕사지,소방,태일방재,안효빈,043-201-4272,사직119안전센터,1.2,5,043-249-9852
139,충북,청주,청주 고은리 고택,소방,신영방재,남호신,,동부소방서,7.9,18,043-251-0119
140,충북,충주,충주 임충민공 충렬사,소방,중앙방재㈜,서귀덕,043-850-5983,충주소방서 호암119안전센터,4.2,9,043-841-3341
141,충북,충주,충주 윤양계 고택,소방,중앙방재㈜,서귀덕,,충주소방서,12,18,043-841-3225
142,충남,공주,공주 마곡사 영산전,소방,㈜고려소방산업,배병찬,041-841-6221,유구119안전센터,14.9,25,041-851-0362
143,충남,공주,공주 마곡사 대웅보전,소방,㈜고려소방산업,배병찬,041-841-6221,유구119안전센터,14.9,25,041-851-0362
144,충남,공주,공주 마곡사 대광보전,소방,㈜고려소방산업,배병찬,041-841-6221,유구119안전센터,14.9,25,041-851-0362
145,충남,공주,공주 계룡산 중악단,소방,㈜고려소방산업,배병찬,041-852-4230,계룡119안전센터,7.5,16,041-851-0422
146,충남,공주,공주 갑사 대웅전,소방,㈜고려소방산업,배병찬,041-857-8981,계룡119안전센터,5.46,13,041-851-0422
147,충남,논산,논산 쌍계사 대웅전,소방,경원소방,전남기,041-741-2255,연산119안전센터,6,10,041-730-0422
148,충남,논산,논산 돈암서원 응도당,소방,경원소방,전남기,041-736-0096,연산119안전센터,1.1,6,041-730-0422
149,충남,논산,논산 노강서원 강당,소방,경원소방,전남기,041-732-4349,반월119안전센터,7.4,11,041-730-0402
150,충남,논산,논산 돈암서원,소방,경원소방,전남기,041-736-0096,연산119안전센터,1.1,6,041-730-0422
151,충남,논산,논산 노강서원,소방,경원소방,전남기,041-732-4349,반월119안전센터,7.4,11,041-730-0402
152,충남,논산,논산 명재고택,소방,경원소방,전남기,,반월119안전센터,12,14,041-730-0402
153,충남,논산,논산 백일헌 종택,소방,경원소방,전남기,,반월119안전센터,12,13,041-730-0402
154,충남,당진,당진 솔뫼마을 김대건신부 유적,,공단소방,김대용,044-270-3000,합덕119안전센터,2.4,3,041-350-5382
155,충남,보령,보령 충청수영성,소방,㈜해냄소방,장혁,041-930-6584,오천119안전센터,0.1,3,041-930-0402
156,충남,부여,부여 무량사 극락전,소방,네오방재,김영규,041-836-5066,외산119안전센터,1.83,5,041-830-0422
157,충남,부여,부여 홍산현 관아,소방,네오방재,김영규,041-830-2638,홍산119안전센터,0.5,5,041-830-0382
158,충남,부여,부여 여흥민씨 고택,소방,네오방재,김영규,041-830-2638,사비119안전센터,3.4,5,041-830-0362
159,충남,부여,부여 군수리 고택,소방,네오방재,김영규,041-832-7780,사비119안전센터,5.6,8,041-830-0362
160,충남,서산,서산 개심사 대웅전,소방,중앙소방기술사사무소,만윤호,041-688-2256,해미119안전센터,8.8,12,041-688-2119
161,충남,서산,서산 해미읍성,소방,중앙소방기술사사무소,만윤호,041-661-8003,해미119안전센터,0.7,2,041-688-2119
162,충남,서산,서산 경주김씨 고택,소방,중앙소방기술사사무소,만윤호,,해미119안전센터,4.7,6,041-688-2119
163,충남,서천,서천 이하복 고택,소방,보광소방방재,박헌용,,한산소방서,5.7,7,041-955-0422
164,충남,아산,아산 맹씨 행단,소방,동국방재,임승묵,,배방119안전센터,5.5,10,041-538-0422
165,충남,아산,아산 용궁댁,소방,동국방재,임승묵,,신창119안전센터,8.2,10,041-544-1193
166,충남,아산,아산 외암마을 참판댁,소방,㈜거명소방전기,박영호,,모종119안전센터,8.6,10,041-538-0263
167,충남,아산,아산 윤보선 대통령 생가,소방,동국방재,임승묵,02-735-0826,둔포119안전센터,6.1,9,041-538-0362
168,충남,아산,아산 외암마을 건재고택,소방,㈜거명소방전기,박영호,041-536-8772,모종119안전센터,8.6,10,041-538-0263
169,충남,아산,아산 외암마을,소방,㈜거명소방전기,박영호,,모종119안전센터,8.6,10,041-538-0263
170,충남,예산,예산 수덕사 대웅전,소방,삼원소방,조강산,041-330-7709,덕산119안전센터,8.9,10,041-330-4402
171,충남,예산,예산 윤봉길 의사 유적,소방,삼원소방,김서길,041-339-8232,덕산119안전센터,4,6,041-330-4402
